USERID,PURCHASEDBOOKID
600162,"100013,111171,113665,107517,111171,167541,164687,109615,100234,141325"
600169,"149246,158378,114263,141325,114263,149455,114263,120912,106876,107517"
600174,"114263,114726,106876,114726,164687,129937,163038,155103,114726,114263"
600175,"115556,114263,166242,142213,155103,111171,172457,145637,124003,153263"
600182,"159276,152257,141325,114263,144871,107517,111171,128741,114726,172457"
600188,"104859,115556,111171,142213,172264,162878,174549,104910,113522,124775"
600193,"114263,147696,164092,161638,107923,129133,171961,164687,119348,142213"
600199,"177441,154949,158378,134415,122842,142213,139809,172457,155103,148942"
600203,"100013,111171,113665,107517,111171,167541,164687,109615,100234,141325"
600209,"148942,158174,145619,144871,111171,162878,107037,154932,114263,121803"
600211,"155103,114263,141325,150095,114263,114726,172457,155103,148942,144871"
600216,"104726,114263,117994,178216,114263,114726,170430,126326,140246,111171"
600222,"128043,158378,166086,162878,144871,139128,149151,131831,111171,107037"
600226,"126326,117435,121868,116793,106186,110536,135677,102128,143622,170332"
600233,"142213,163038,112905,166626,114263,158378,139128,117386,145637,142679"
600236,"100013,111171,140246,114263,155103,131831,114726,169517,114263,114726"
600242,"157314,114263,162878,126326,107517,158378,166626,171049,100234,134396"
600245,"100013,111171,162878,111171,111171,166242,141325,166242,102128,147745"
600251,"121479,159652,117280,144871,139128,148942,155103,172457,114726,149025"
600257,"130460,168260,113665,100234,119817,138024,155721,172264,141224,143578"
600261,"114263,105968,172602,150177,120481,107249,127698,178107,106876,165392"
600269,"119499,113665,167541,172086,130931,173445,167442,166086,164687,121803"
600274,"100013,112905,153263,112694,121137,166252,130460,130460,144619,114263"
600279,"141224,114263,114263,114263,125247,149151,114263,158378,145637,114263"
600284,"153263,149151,110626,121868,107923,149455,150780,148942,130189,114263"
600285,"174549,161223,162878,104910,145637,131831,113522,114263,146841,135430"
600291,"111171,111171,115556,114263,140246,111171,111171,153263,178216,111171"
600298,"112905,178404,142213,163038,158378,139128,166626,114263,114263,129645"
600303,"125368,164695,121137,166398,160188,148036,149455,107517,120912,112615"
600308,"104141,146841,170332,162878,171049,134396,123484,104910,104910,115842"
600310,"144871,139128,117386,168260,148942,155103,172457,114726,114263,158378"
600319,"100013,114263,106876,166242,114263,141325,114263,115556,166242,166086"
600321,"124410,136490,114263,107517,141325,126326,114726,161638,172264,156578"
600325,"100013,114263,106876,166242,114263,141325,114263,115556,166242,166086"
600331,"100013,114263,114263,149151,109615,158378,114726,158378,155103,114263"
600338,"158378,114263,114726,155103,114263,114263,149151,114263,141325,158378"
600341,"142213,163038,112905,166626,114263,158378,139128,117386,145637,142679"
600345,"126326,112615,114726,114263,172457,155103,139128,148942,144871,158378"
600351,"107517,167541,172264,144871,126326,141325,148036,117994,142213,156578"
600358,"114263,145637,168200,153263,115556,135430,172503,169517,170430,111171"
600364,"100013,114263,114726,131831,166626,115842,127652,105968,140246,112788"
600368,"146159,164687,143156,160188,114263,158378,154932,170332,114263,100234"
600374,"172457,155103,115380,150177,114263,114726,144871,148942,139128,114726"
600376,"163038,123203,142213,117386,155103,141325,112905,163038,112905,139128"
600384,"142213,163038,112905,166626,114263,158378,139128,117386,145637,142679"
600386,"158378,158378,114263,114263,114726,149151,155103,158378,114263,114263"
600390,"178013,172264,130077,115842,171049,145637,164687,100234,133815,172457"
600396,"160188,114263,126326,170332,167541,114263,118320,170332,173445,167597"
600402,"100013,114263,114726,131831,166626,115842,127652,105968,140246,112788"
600407,"146159,108701,171976,131831,166086,106876,155103,162878,141325,142213"
600412,"100533,115380,114263,114726,114726,172602,142213,155103,162878,172457"
600415,"100013,114726,114726,111171,164687,168200,149151,111171,104868,104657"
600420,"111171,111171,166242,166242,111171,143622,156578,166242,111171,147745"
600425,"132988,121479,172264,145637,105968,114486,166626,104910,113665,171049"
600433,"113594,114263,109615,166086,174549,115842,148942,114263,108461,113665"
600436,"138024,107249,179131,116375,174622,173445,119817,163038,149151,158378"
600444,"158378,149151,158378,114726,114263,114263,114263,107037,114263,142213"
600448,"142213,157056,163038,170332,112905,114263,145637,114263,166626,167541"
600454,"114486,172602,114726,119817,107037,121479,149025,127698,144871,149151"
600456,"142544,144871,107018,139128,148942,155103,172457,114263,114726,158378"
600463,"138502,117242,170332,172457,114263,155566,113522,170332,170332,170332"
600466,"114263,107037,111171,143622,150177,100619,158378,114263,149151,114726"
600472,"158378,158378,149151,114726,114263,114263,114263,155103,114263,107037"
600475,"100013,114726,114726,111171,164687,168200,149151,111171,104868,104657"
600481,"100013,114726,114726,111171,164687,168200,149151,111171,104868,104657"
600485,"155103,158378,114263,130460,121803,104868,100234,112905,105968,142213"
600490,"100013,114726,114726,114263,114263,105968,171049,115842,153263,127652"
600495,"170332,114263,114263,170332,142213,113665,172457,162878,113522,114263"
600501,"100013,114726,114726,114263,114263,105968,171049,115842,153263,127652"
600509,"100013,114726,114726,114263,114263,105968,171049,115842,153263,127652"
600511,"104910,102007,108461,155103,150780,129133,172457,114263,112615,148942"
600517,"163038,142213,112905,139128,158378,117386,129645,139128,163258,142213"
600520,"136490,121803,130460,128741,102151,114263,113665,152470,113665,166626"
600527,"150177,114263,164687,138024,119817,163258,142213,164687,121803,117386"
600534,"114263,166242,118320,125247,113665,145637,157507,114726,168062,114263"
600538,"114263,170332,172457,155103,114263,114263,170332,113522,114263,114726"
600543,"111171,119914,127179,121479,126326,107517,144871,114263,141325,117994"
600547,"166242,166242,142213,111171,114263,166626,115556,164687,166242,166626"
600554,"142544,123556,112305,132913,132913,113522,157615,125069,117435,162878"
600555,"172264,152257,113665,142213,149025,114263,163038,172602,139128,127698"
600564,"115619,122420,107018,177441,115795,159465,107517,145637,167541,155103"
600565,"100013,114726,166704,146545,102522,100619,128741,111171,152470,113665"
600574,"172264,113683,142213,114726,163038,112905,163258,158378,139128,114726"
600575,"100013,114768,140246,147487,113471,164937,179131,114263,114726,111171"
600582,"100013,116315,172457,101355,177888,170332,127652,155566,113522,117435"
600586,"114263,163038,114263,163038,114263,155103,114726,149151,106876,158378"
600590,"100013,120708,172969,105951,162878,146841,170332,171049,114726,117435"
600595,"100013,122668,107037,149025,132558,156723,127698,166398,121479,174549"
600602,"141325,114263,114263,155103,114263,170332,114263,172457,170332,114726"
600608,"142213,163038,112905,166626,114263,158378,139128,117386,145637,142679"
600612,"114486,114263,166086,114263,114263,114726,158378,155103,114263,149151"
600616,"100013,135987,117435,120209,123484,162878,134396,139318,117435,144871"
600623,"164695,156578,105968,138024,130457,171961,172153,154932,114263,121479"
600625,"100013,144839,127652,172457,170332,155566,114263,172602,170332,170829"
600630,"100013,146159,124410,177888,172969,143156,167597,117659,114263,105968"
600637,"170332,114263,114263,170332,142213,113665,172457,162878,113522,114263"
600644,"142213,140276,163038,112905,166626,114263,158378,145637,139128,117386"
600649,"100013,153263,162878,111171,103903,139318,100234,130931,134396,138830"
600650,"100013,158174,115380,143156,167597,164937,165976,139238,156578,111091"
600658,"172086,111171,111171,166242,164687,166626,114263,156578,153263,140246"
600664,"107517,123203,163038,172457,114263,142213,167541,155103,155103,172457"
600665,"108461,142679,142213,117386,163038,117386,100234,145637,138024,158378"
600671,"117435,102522,131831,138830,172434,117435,154932,162878,170332,162878"
600675,"125072,120912,119817,114263,147487,145637,114263,170332,174549,161638"
600684,"111091,134525,115380,142213,114263,114263,172865,100727,104141,123556"
600689,"100013,158378,155103,177441,114263,115380,144871,114726,172457,148942"
600691,"166086,127698,144871,138024,106186,123484,162878,107517,104910,112615"
600695,"104868,174276,117280,172969,170332,135606,105968,114263,127698,153263"
600702,"100013,163038,165523,173377,107611,164937,142213,114263,112905,126326"
600709,"114726,166252,169854,125368,155103,114263,157726,171049,114726,172457"
600712,"168370,137581,113522,117435,142544,123484,146841,113522,114726,109615"
600715,"121479,104859,104141,141325,145637,162878,177441,146841,104910,138502"
600720,"121479,112615,112705,110980,100234,128741,161638,168062,172457,166398"
600727,"162621,154932,139318,138830,156578,126326,162641,142213,144871,117435"
600730,"139809,145637,114263,144871,174549,155103,166626,114263,148942,172457"
600737,"100013,164687,135606,113665,154932,138024,100234,114263,100234,128741"
600744,"172457,170332,114263,155566,113522,101355,114726,170332,170332,115556"
600747,"100013,164937,127652,158378,172602,122668,114263,115251,152470,149151"
600750,"114263,114263,149151,114726,158378,114263,158378,155103,158378,109615"
600755,"158378,149151,158378,114726,114263,114263,114263,107037,114263,142213"
600763,"164687,146060,100234,114263,113665,107249,112305,107018,125247,164687"
600768,"108461,153263,149233,121803,107923,138024,164687,113665,114263,124003"
600771,"157314,168062,145637,109615,113665,163038,170332,114263,113665,117386"
600775,"157615,162878,117435,113522,142213,138830,129218,174549,174208,155730"
600783,"116007,100234,130457,121803,172457,158208,127179,130931,155103,113665"
600785,"139128,144871,148942,155103,172457,114263,114726,158378,123203,172264"
600793,"170332,172457,170332,114263,155566,170829,164092,170332,113522,170332"
600798,"113665,114263,114263,125247,115556,152470,164687,164687,105968,140679"
600801,"166626,114263,172457,170332,170332,101355,172264,114263,166086,114263"
600809,"100013,165523,172602,114263,154932,114263,113665,122668,127652,155332"
600814,"121803,114263,142213,170332,114263,154932,100234,158378,168062,150780"
600818,"152783,106876,114263,114263,114263,135430,155103,114263,141325,153263"
600821,"100013,165976,102151,128741,168260,114263,114263,106876,144619,172457"
600825,"111171,114263,140246,114726,115556,114726,111171,169517,155103,111171"
600834,"114263,148942,144871,114726,171961,172457,155103,158378,139128,158378"
600839,"149151,158378,114726,158378,114263,114263,155103,114263,107037,114263"
600841,"119466,144871,104910,116315,156099,161638,174208,147419,124410,156723"
600847,"116315,114263,117435,135430,126587,170332,162878,117435,166626,131831"
600851,"166242,111171,166242,166242,102128,111171,141325,166626,120708,111171"
600857,"168260,152470,107037,144871,112694,154949,139128,149025,148942,121479"
600864,"179744,128741,130460,147915,173445,168509,164687,105968,166626,121137"
600866,"151019,141325,113683,147487,114263,114726,154932,104141,121479,172602"
600870,"114263,118320,107018,114726,144871,148942,139128,155103,114263,172457"
600876,"150177,138907,114263,145637,156578,139318,140810,162621,138830,144871"
600884,"153263,105968,156578,104657,115556,103903,161638,167442,103717,111171"
600888,"158378,149151,158378,114726,114263,114263,114263,107037,114263,142213"
600891,"139385,125072,122668,114726,111171,158378,142213,104657,145196,172264"
600899,"172264,168260,140810,149025,114263,113665,114486,113665,141325,140246"
600904,"100234,103903,160188,114726,168200,104141,172969,135606,120912,128741"
600908,"172264,113522,114263,140246,149025,144871,113665,158378,114486,111171"
600912,"100234,104141,167597,128741,114726,128741,135606,138024,120912,121803"
600915,"100234,107249,107037,121868,143622,116315,140918,173264,172457,114263"
600923,"154701,138830,142213,108701,129218,114263,161638,114263,145637,105968"
600926,"100234,107611,107249,166704,166626,102007,141325,114263,135606,149025"
600931,"172264,134525,114263,140246,149025,144871,158378,111171,114486,139128"
600938,"100234,108461,112615,128741,163258,167541,141325,120912,128741,167541"
600943,"100234,111171,172086,171976,112305,114263,122842,172602,162878,166242"
600948,"158378,168260,102007,169517,125072,131831,149025,149151,114726,114263"
600954,"121137,114263,138024,126326,170430,169517,138830,138907,167597,161638"
600959,"104868,114263,114263,125247,144871,123484,155103,139128,109615,146841"
600964,"155566,101951,142213,139809,139128,162641,170829,170332,172457,114263"
600968,"114263,178107,114263,114726,155103,155103,172457,114726,144871,148942"
600971,"100234,112836,109659,114263,114263,170332,170332,172457,114263,155566"
600975,"138024,107923,114263,126326,107517,149233,113665,108461,117994,164687"
600982,"150804,159184,114726,114263,155103,158378,114263,173445,141325,139128"
600985,"122295,145637,162878,144871,167541,161638,126326,163514,148942,158378"
600993,"139809,162878,114263,114263,170332,138830,162878,170332,129218,142213"
600999,"162522,139809,119817,107037,166086,113665,172264,114486,167541,121479"
601004,"130931,106876,172457,107517,141325,125247,145637,158378,114263,144871"
601005,"108461,167541,112615,163258,100234,166086,107517,141325,106059,158378"
601011,"114726,178107,110725,166626,114263,112905,114263,158378,149151,158378"
601017,"158378,149151,158378,114726,114263,114263,114263,107037,114263,142213"
601020,"139809,125368,139809,138024,164687,112615,167442,117386,105968,149455"
601029,"130241,125247,114263,155103,104868,139128,114263,144871,114726,164687"
601032,"145619,164687,142213,168260,163038,139809,112905,158378,139128,142679"
601035,"129133,114726,158378,114263,149151,155103,158378,128741,158378,141325"
601044,"172264,119558,114263,140246,111171,149025,166242,144871,139128,164687"
601047,"170332,130077,123484,166242,146841,172457,111171,141325,110980,111171"
601053,"117699,114726,173445,128741,114263,167597,100234,162641,172264,126326"
601055,"114726,171171,155103,144871,114263,148942,172457,139128,158378,114726"
601063,"130106,114263,170332,110980,168062,100234,170332,142213,172457,103903"
601068,"100234,113665,129135,156723,145341,145637,114286,112615,107923,128741"
601071,"111171,162878,166242,111171,111171,141325,166242,147745,104657,164687"
601079,"159465,157314,174208,178404,159465,157314,162878,104910,117435,166086"
601083,"158183,107923,142213,113665,145637,112615,141325,166704,104657,114263"
601085,"110980,125368,172637,143596,152783,121479,161638,112615,166398,164687"
601090,"149246,158378,114263,141325,114263,149455,114263,120912,106876,107517"
601095,"100234,114263,114263,141325,164687,113665,170332,114263,102151,163038"
601101,"162621,154932,139318,138830,156578,126326,162641,142213,144871,117435"
601107,"101355,156099,141935,114263,114582,172457,170332,113522,155566,170332"
601113,"110725,128741,100234,120912,114263,172264,155730,114726,155103,168062"
601116,"131831,158378,149151,158378,114726,114263,104910,162878,142213,155103"
601120,"102114,117435,162878,146841,123484,155730,134396,144871,104910,123484"
601125,"100234,114263,114263,141325,164687,113665,170332,114263,102151,163038"
601130,"166242,129475,110725,170332,125606,104859,147968,119499,112305,131233"
601138,"100234,114263,114263,164687,149455,170332,138830,168182,110980,138024"
601144,"121803,172457,142213,155103,148942,114263,144871,139128,114726,163038"
601149,"164687,158378,158378,149151,114726,114263,114263,155103,114263,142213"
601152,"100234,114263,114263,164687,149455,170332,138830,168182,110980,138024"
601159,"100234,114263,114263,164687,149455,170332,138830,168182,110980,138024"
601162,"158378,149025,125072,106876,122668,140246,114263,172264,148942,107037"
601166,"114726,155103,114263,144871,172457,148942,139128,158378,114726,123203"
601170,"114263,158499,172457,170332,114263,113522,114263,155103,155566,170332"
601178,"145341,120354,147487,116315,156728,111171,103903,153263,111171,146841"
601180,"123484,170332,114263,142213,155103,172457,155566,112905,113522,170829"
601187,"105968,166626,166626,105968,105968,114263,155103,102522,149455,142213"
601194,"155103,114263,114726,114263,158378,114263,149151,114263,158378,106876"
601199,"114263,103337,107611,150177,113665,149151,158378,138024,158378,138024"
601203,"106910,135677,147894,121803,164687,113665,114263,153263,138024,107923"
601206,"100234,114263,114263,164687,149455,170332,138830,168182,110980,138024"
601211,"165976,114263,114726,114263,114726,115842,114263,169517,138024,127652"
601219,"100234,114263,114263,164687,149455,170332,138830,168182,110980,138024"
601223,"148942,172086,116315,152257,107018,130241,114263,135430,170332,106876"
601226,"100727,166242,114726,102114,106876,139369,114263,162878,142213,166242"
601230,"100234,114263,114263,164687,149455,170332,138830,168182,110980,138024"
601236,"172264,104018,111171,142213,166252,114726,160273,145637,104657,107923"
601242,"117386,114263,114263,142213,166242,108461,109615,104657,125247,114263"
601248,"112905,104018,148036,150804,125368,172153,155241,142213,106876,113665"
601252,"177168,114263,114726,158378,100234,149151,158378,114263,162878,113665"
601257,"108461,114263,114726,114263,153263,164687,106876,164687,135430,168200"
601261,"117435,163038,107838,138502,174549,172865,124775,131831,123484,174208"
601268,"145637,159276,157726,114263,142213,167541,114263,172264,174549,161638"
601270,"150177,171049,114263,134396,104910,121479,168509,158378,114263,172503"
601276,"100234,114263,114263,164687,149455,170332,138830,168182,110980,138024"
601280,"114263,164687,107407,144871,101168,102151,118964,166242,114263,111171"
601288,"100234,114263,114263,164687,149455,170332,138830,168182,110980,138024"
601292,"158208,112305,166626,114263,149455,114263,105968,137455,125368,113665"
601297,"166626,145637,172457,114726,177168,107018,155103,112705,155103,171961"
601301,"153373,132722,104868,172457,114263,170332,114263,155566,170829,170332"
601306,"100234,114263,114263,164687,149455,170332,138830,168182,110980,138024"
601310,"152470,113665,135753,158174,118320,112615,172264,146060,173445,127698"
601319,"162878,166242,139128,116793,111171,142213,117435,166242,111171,163038"
601323,"177441,113665,173445,106059,113665,107923,109615,164687,100234,114726"
601327,"141224,124775,170332,154932,162878,114263,135430,117435,152470,104910"
601333,"112836,127652,172969,172457,170332,170332,155566,177888,170332,112037"
601338,"145637,114263,142213,167541,114263,172264,105968,161638,174549,155103"
601343,"106876,114263,155103,135430,114263,114263,114263,163038,114263,158378"
601349,"100234,114263,114263,164687,149455,170332,138830,168182,110980,138024"
601353,"173264,177441,114726,113471,115619,114726,141325,114263,149151,155103"
601359,"149151,158378,114726,158378,114263,114263,155103,114263,107037,114263"
601361,"100234,114263,114263,164687,149455,170332,138830,168182,110980,138024"
601368,"100234,114263,114263,164687,149455,170332,138830,168182,110980,138024"
601371,"159184,152621,170597,142213,170829,113665,155566,127652,153373,113665"
601375,"121479,135753,145637,166086,149025,107037,105968,127698,172264,130189"
601383,"104657,111171,122668,111171,113665,158378,164687,154932,125072,113665"
601386,"125368,114726,170332,114263,100234,110980,144619,167442,163514,172457"
601390,"100234,114263,145637,114263,168062,170332,143156,142213,158378,161638"
601396,"100234,114263,145637,153263,161638,143156,107923,157507,168062,100619"
601400,"100234,114263,145637,153263,161638,143156,107923,157507,168062,100619"
601409,"100234,114263,158378,149151,158378,114263,114263,114263,114263,142213"
601413,"154932,122668,152470,162621,122668,148942,111171,121479,150780,173445"
601415,"120912,132722,118964,149455,121803,165392,174208,113665,102151,129133"
601424,"114263,162878,112905,130460,152257,156578,170332,150804,134599,123556"
601426,"172503,166086,114486,117386,145637,142213,167541,149151,145637,121479"
601431,"121479,157314,159276,173445,177168,143156,107037,149025,127698,158378"
601436,"100234,114263,164687,112615,158174,164687,146060,153263,167541,125247"
601440,"100234,114263,164687,112615,158174,164687,146060,153263,167541,125247"
601445,"114263,114263,114263,155103,114726,158378,114263,149151,172457,158378"
601453,"100234,114263,164687,112615,158174,164687,146060,153263,167541,125247"
601458,"164687,106059,121803,167541,104141,162522,170586,135753,130106,128741"
601462,"150177,161638,114263,111171,121479,138024,104657,149025,119817,142213"
601465,"100234,114263,164687,112615,158174,164687,146060,153263,167541,125247"
601473,"165523,170332,172457,114263,142213,113522,170829,155566,127652,112037"
601475,"169243,179744,138830,135606,114726,141325,164687,161638,149455,133815"
601484,"166704,114263,107923,145637,104657,100234,114726,167541,142213,130931"
601489,"100234,119558,165523,115380,117386,104657,146060,166626,166242,166242"
601493,"114263,165392,114263,145637,153263,135430,168200,115556,106876,155103"
601497,"100234,119817,167442,148036,146159,113665,155582,138502,141224,112615"
601503,"100234,120912,128741,168062,135606,112615,144619,172264,114726,121803"
601508,"172457,104901,170332,114263,155566,113522,101355,114726,170332,170829"
601510,"158378,114263,114726,155103,114263,114263,149151,114263,141325,158378"
601519,"100234,120912,151019,131196,166086,100619,114486,113665,144619,114263"
601521,"100234,121137,114263,114726,128741,155103,112788,114263,120912,141325"
601525,"127652,145637,114263,147487,115842,126326,145637,117994,158378,127652"
601531,"100234,121479,150177,122420,152257,114286,126455,120227,104910,114286"
601536,"100234,121803,114263,153263,161638,145637,107923,143156,157507,168062"
601542,"100234,123425,114263,114263,163038,170332,155103,114263,172457,141325"
601546,"158378,149151,158378,114726,114263,114263,114263,107037,114263,142213"
601553,"168509,166626,113665,117435,114263,119817,123484,129218,105968,149025"
601559,"146841,153864,107838,169116,149151,132722,147745,116793,166242,111171"
601560,"113516,107517,163038,126326,108461,117994,156578,142213,145637,114263"
601569,"107037,167541,107923,100234,145637,114263,161638,124003,170586,166704"
601572,"133525,102007,156728,173445,128741,119466,135606,156578,153263,139318"
601577,"149151,114726,114726,114263,114726,128741,114263,172457,168200,114726"
601584,"126326,114263,144871,135430,170430,162621,155103,139128,167597,159184"
601588,"135606,140810,138412,113665,130106,166626,145637,112615,107923,166242"
601591,"171976,119563,145196,104910,163038,114263,162878,155730,170332,123484"
601598,"139318,158378,149151,107037,114263,144871,121479,148942,122668,154932"
601602,"144619,147968,114726,168062,113665,114263,120912,105968,141325,172264"
601605,"100234,128741,120912,112615,128741,135606,108461,113665,114726,168062"
601613,"158499,114726,168062,172434,100013,103593,113081,114726,127652,127652"
601618,"127179,162621,164687,142213,166242,166626,112905,114726,114263,164687"
601621,"100234,128741,120912,112615,128741,135606,108461,113665,114726,168062"
601628,"156728,105968,138830,140810,174622,129645,104018,135606,153263,172602"
601632,"100234,128741,120912,112615,128741,135606,108461,113665,114726,168062"
601635,"162621,154932,139318,138830,156578,126326,162641,142213,144871,117435"
601643,"141325,133815,114263,114263,172457,155103,114726,163038,155103,112905"
601649,"172457,155103,163038,114263,114263,128741,112905,114263,114726,106876"
601653,"132722,115380,149151,158378,114726,114263,158378,114263,107517,114263"
601659,"100234,128741,120912,112615,128741,135606,108461,113665,114726,168062"
601660,"100234,128741,120912,112615,128741,135606,108461,113665,114726,168062"
601666,"166626,114263,166242,114726,104657,166242,114263,155103,173264,114263"
601671,"142213,113683,122842,174276,158183,145619,114263,166626,158378,163038"
601678,"103903,114263,162878,158378,153263,111171,142213,129218,107517,111171"
601681,"100234,128741,120912,112615,128741,135606,108461,113665,114726,168062"
601686,"168509,158378,149151,107037,121479,127698,158378,138024,139318,155332"
601694,"100234,128741,120912,112615,128741,135606,108461,113665,114726,168062"
601695,"117435,174549,104910,162878,135430,170332,131831,162878,145637,117435"
601703,"100234,128741,120912,112615,128741,135606,108461,113665,114726,168062"
601705,"100234,128741,120912,112615,128741,135606,108461,113665,114726,168062"
601710,"166242,166242,142213,111171,114263,166626,115556,164687,166242,166626"
601715,"100234,128741,120912,112615,128741,135606,108461,113665,114726,168062"
601721,"100234,128741,120912,112615,128741,135606,108461,113665,114726,168062"
601727,"100234,129210,139238,113665,163191,112694,164687,164687,149455,142213"
601734,"178107,112705,130931,167541,125247,107923,107517,170332,135606,100619"
601737,"100234,135430,170332,114263,106876,162878,104910,158174,102114,106186"
601742,"100234,136490,127179,133177,139809,100234,110626,157507,106059,145908"
601745,"138830,172457,172086,163038,155103,114263,114263,114263,106876,114726"
601753,"145637,149455,121803,142213,112788,167541,153263,107517,166086,164687"
601758,"116315,102114,126326,134396,104910,128964,146841,162878,171049,144871"
601761,"120912,151019,128741,168062,100234,172264,114263,114726,163038,144619"
601767,"159465,170332,172457,114263,144871,172457,139128,155103,148942,155566"
601772,"112305,107135,103974,112305,171171,125069,114286,144871,155103,139128"
601778,"114726,114263,149151,155103,158378,114263,158378,158378,128741,114263"
601780,"100234,138907,114263,114263,141325,164687,155103,163038,113665,170332"
601788,"100234,140810,142213,163038,114263,145637,117386,167541,114263,155103"
601794,"113665,170332,107923,112615,164687,142213,144619,121803,113665,114486"
601797,"155103,147894,130931,126326,144871,114263,139128,148942,172457,114726"
601802,"158378,139809,126326,155103,159465,114726,114263,114263,141325,144871"
601805,"158378,149151,158378,114726,114263,114263,114263,107037,114263,142213"
601810,"104657,135753,111171,154932,164687,179131,152470,122668,122668,113665"
601817,"166086,101951,141935,172457,123373,170332,114263,170829,155566,170332"
601824,"150177,166242,114263,178216,133460,146841,114263,135430,111242,120708"
601827,"141325,155103,157314,107018,114263,172457,144871,148942,139128,114726"
601834,"127652,166626,114263,114726,142213,154932,156578,164687,115842,169517"
601835,"120066,117435,145637,120708,162878,174208,104910,114263,107923,123484"
601843,"100234,141224,100013,154932,114726,128741,168062,107517,153263,157507"
601847,"120708,153373,165523,147487,142213,104910,113471,101355,114726,155730"
601854,"154701,114263,114263,164687,114263,170332,167541,141224,164687,114263"
601856,"122295,158499,166398,120708,114286,133460,114263,113665,162878,100013"
601864,"123484,158499,146159,172264,155103,141935,114263,114263,170332,172457"
601867,"114263,169243,102128,156578,117699,173264,155190,116375,166242,178216"
601872,"158378,144871,139128,178107,155103,148942,114263,172457,114726,114726"
601877,"100234,144069,144871,174549,135677,115380,178216,143156,124775,114726"
601883,"163038,142213,112905,139128,158378,117386,129645,139128,163258,142213"
601885,"147487,156578,153263,162621,114263,170430,154932,143596,138830,124003"
601894,"125368,104657,170332,112705,108528,158378,112705,163038,142213,158378"
601898,"112615,172457,142679,114726,164687,164235,114263,150177,114726,155103"
601900,"139238,105968,135606,145637,128741,154932,101948,114263,164687,140810"
601905,"167058,144871,107037,139809,139128,148942,155103,114263,172457,114726"
601911,"100234,144871,114263,158378,114263,149151,114263,158378,146841,126326"
601916,"179131,114726,149151,158378,114263,158378,155103,114263,158378,141325"
601923,"150177,167541,114263,114263,153263,125247,114263,106876,127652,107517"
601927,"158378,113516,156638,114726,112905,114726,114263,155103,114263,163038"
601933,"100234,144871,168062,163514,138502,159184,114726,144619,120912,162878"
601935,"100234,148036,134641,158174,164687,114263,114263,125247,167541,141224"
601943,"121479,130189,129135,168509,125069,112305,158378,107037,149151,166086"
601949,"100234,150804,112615,164687,146060,152470,158174,145196,167541,124003"
601953,"134641,166398,113665,114263,114486,121479,113665,107249,113665,152470"
601958,"127652,145637,145637,163038,142213,109615,107923,168062,130931,127652"
601960,"100234,156578,113683,114263,172457,170332,128741,114263,172457,155566"
601967,"100234,159465,114263,145637,153263,161638,143156,168062,107923,157507"
601970,"100013,114726,114726,111171,164687,168200,149151,111171,104868,104657"
601975,"155103,149151,172457,163038,112905,123203,114263,172457,142213,128741"
601984,"100234,163895,121803,144619,111171,112905,128741,112615,173377,145637"
601988,"112905,134415,142213,166626,114263,163038,158378,139128,163258,141325"
601993,"119348,156578,162621,154932,114263,139318,138830,142213,170430,162641"
