USERID,PURCHASEDBOOKID
600182,"159276.0, 152257.0, 141325.0, 114263.0, 144871.0, 107517.0, 111171.0, 128741.0, 114726.0, 172457.0"
600188,"104859.0, 115556.0, 111171.0, 142213.0, 172264.0, 162878.0, 174549.0, 104910.0, 113522.0, 124775.0"
600193,"114263.0, 147696.0, 164092.0, 161638.0, 107923.0, 129133.0, 171961.0, 164687.0, 119348.0, 142213.0"
600199,"177441.0, 154949.0, 158378.0, 134415.0, 122842.0, 142213.0, 139809.0, 172457.0, 155103.0, 148942.0"
600209,"148942.0, 158174.0, 145619.0, 144871.0, 111171.0, 162878.0, 107037.0, 154932.0, 114263.0, 121803.0"
600211,"155103.0, 114263.0, 141325.0, 150095.0, 114263.0, 114726.0, 172457.0, 155103.0, 148942.0, 144871.0"
600216,"104726.0, 114263.0, 117994.0, 178216.0, 114263.0, 114726.0, 170430.0, 126326.0, 140246.0, 111171.0"
600222,"128043.0, 158378.0, 166086.0, 162878.0, 144871.0, 139128.0, 149151.0, 131831.0, 111171.0, 107037.0"
600226,"126326.0, 117435.0, 121868.0, 116793.0, 106186.0, 110536.0, 135677.0, 102128.0, 143622.0, 170332.0"
600233,"142213.0, 163038.0, 112905.0, 166626.0, 114263.0, 158378.0, 139128.0, 117386.0, 145637.0, 142679.0"
600242,"157314.0, 114263.0, 162878.0, 126326.0, 107517.0, 158378.0, 166626.0, 171049.0, 100234.0, 134396.0"
600251,"121479.0, 159652.0, 117280.0, 144871.0, 139128.0, 148942.0, 155103.0, 172457.0, 114726.0, 149025.0"
600257,"130460.0, 168260.0, 113665.0, 100234.0, 119817.0, 138024.0, 155721.0, 172264.0, 141224.0, 143578.0"
600261,"114263.0, 105968.0, 172602.0, 150177.0, 120481.0, 107249.0, 127698.0, 178107.0, 106876.0, 165392.0"
600269,"119499.0, 113665.0, 167541.0, 172086.0, 130931.0, 173445.0, 167442.0, 166086.0, 164687.0, 121803.0"
600279,"141224.0, 114263.0, 114263.0, 114263.0, 125247.0, 149151.0, 114263.0, 158378.0, 145637.0, 114263.0"
600284,"153263.0, 149151.0, 110626.0, 121868.0, 107923.0, 149455.0, 150780.0, 148942.0, 130189.0, 114263.0"
600285,"174549.0, 161223.0, 162878.0, 104910.0, 145637.0, 131831.0, 113522.0, 114263.0, 146841.0, 135430.0"
600291,"111171.0, 111171.0, 115556.0, 114263.0, 140246.0, 111171.0, 111171.0, 153263.0, 178216.0, 111171.0"
600298,"112905.0, 178404.0, 142213.0, 163038.0, 158378.0, 139128.0, 166626.0, 114263.0, 114263.0, 129645.0"
600303,"125368.0, 164695.0, 121137.0, 166398.0, 160188.0, 148036.0, 149455.0, 107517.0, 120912.0, 112615.0"
600308,"104141.0, 146841.0, 170332.0, 162878.0, 171049.0, 134396.0, 123484.0, 104910.0, 104910.0, 115842.0"
600310,"144871.0, 139128.0, 117386.0, 168260.0, 148942.0, 155103.0, 172457.0, 114726.0, 114263.0, 158378.0"
600321,"124410.0, 136490.0, 114263.0, 107517.0, 141325.0, 126326.0, 114726.0, 161638.0, 172264.0, 156578.0"
600338,"158378.0, 114263.0, 114726.0, 155103.0, 114263.0, 114263.0, 149151.0, 114263.0, 141325.0, 158378.0"
600341,"142213.0, 163038.0, 112905.0, 166626.0, 114263.0, 158378.0, 139128.0, 117386.0, 145637.0, 142679.0"
600345,"126326.0, 112615.0, 114726.0, 114263.0, 172457.0, 155103.0, 139128.0, 148942.0, 144871.0, 158378.0"
600351,"107517.0, 167541.0, 172264.0, 144871.0, 126326.0, 141325.0, 148036.0, 117994.0, 142213.0, 156578.0"
600358,"114263.0, 145637.0, 168200.0, 153263.0, 115556.0, 135430.0, 172503.0, 169517.0, 170430.0, 111171.0"
600368,"146159.0, 164687.0, 143156.0, 160188.0, 114263.0, 158378.0, 154932.0, 170332.0, 114263.0, 100234.0"
600374,"172457.0, 155103.0, 115380.0, 150177.0, 114263.0, 114726.0, 144871.0, 148942.0, 139128.0, 114726.0"
600376,"163038.0, 123203.0, 142213.0, 117386.0, 155103.0, 141325.0, 112905.0, 163038.0, 112905.0, 139128.0"
600384,"142213.0, 163038.0, 112905.0, 166626.0, 114263.0, 158378.0, 139128.0, 117386.0, 145637.0, 142679.0"
600386,"158378.0, 158378.0, 114263.0, 114263.0, 114726.0, 149151.0, 155103.0, 158378.0, 114263.0, 114263.0"
600390,"178013.0, 172264.0, 130077.0, 115842.0, 171049.0, 145637.0, 164687.0, 100234.0, 133815.0, 172457.0"
600396,"160188.0, 114263.0, 126326.0, 170332.0, 167541.0, 114263.0, 118320.0, 170332.0, 173445.0, 167597.0"
600407,"146159.0, 108701.0, 171976.0, 131831.0, 166086.0, 106876.0, 155103.0, 162878.0, 141325.0, 142213.0"
600412,"100533.0, 115380.0, 114263.0, 114726.0, 114726.0, 172602.0, 142213.0, 155103.0, 162878.0, 172457.0"
600420,"111171.0, 111171.0, 166242.0, 166242.0, 111171.0, 143622.0, 156578.0, 166242.0, 111171.0, 147745.0"
600425,"132988.0, 121479.0, 172264.0, 145637.0, 105968.0, 114486.0, 166626.0, 104910.0, 113665.0, 171049.0"
600433,"113594.0, 114263.0, 109615.0, 166086.0, 174549.0, 115842.0, 148942.0, 114263.0, 108461.0, 113665.0"
600436,"138024.0, 107249.0, 179131.0, 116375.0, 174622.0, 173445.0, 119817.0, 163038.0, 149151.0, 158378.0"
600444,"158378.0, 149151.0, 158378.0, 114726.0, 114263.0, 114263.0, 114263.0, 107037.0, 114263.0, 142213.0"
600448,"142213.0, 157056.0, 163038.0, 170332.0, 112905.0, 114263.0, 145637.0, 114263.0, 166626.0, 167541.0"
600454,"114486.0, 172602.0, 114726.0, 119817.0, 107037.0, 121479.0, 149025.0, 127698.0, 144871.0, 149151.0"
600456,"142544.0, 144871.0, 107018.0, 139128.0, 148942.0, 155103.0, 172457.0, 114263.0, 114726.0, 158378.0"
600463,"138502.0, 117242.0, 170332.0, 172457.0, 114263.0, 155566.0, 113522.0, 170332.0, 170332.0, 170332.0"
600466,"114263.0, 107037.0, 111171.0, 143622.0, 150177.0, 100619.0, 158378.0, 114263.0, 149151.0, 114726.0"
600472,"158378.0, 158378.0, 149151.0, 114726.0, 114263.0, 114263.0, 114263.0, 155103.0, 114263.0, 107037.0"
600485,"155103.0, 158378.0, 114263.0, 130460.0, 121803.0, 104868.0, 100234.0, 112905.0, 105968.0, 142213.0"
600495,"170332.0, 114263.0, 114263.0, 170332.0, 142213.0, 113665.0, 172457.0, 162878.0, 113522.0, 114263.0"
600511,"104910.0, 102007.0, 108461.0, 155103.0, 150780.0, 129133.0, 172457.0, 114263.0, 112615.0, 148942.0"
600517,"163038.0, 142213.0, 112905.0, 139128.0, 158378.0, 117386.0, 129645.0, 139128.0, 163258.0, 142213.0"
600520,"136490.0, 121803.0, 130460.0, 128741.0, 102151.0, 114263.0, 113665.0, 152470.0, 113665.0, 166626.0"
600527,"150177.0, 114263.0, 164687.0, 138024.0, 119817.0, 163258.0, 142213.0, 164687.0, 121803.0, 117386.0"
600534,"114263.0, 166242.0, 118320.0, 125247.0, 113665.0, 145637.0, 157507.0, 114726.0, 168062.0, 114263.0"
600538,"114263.0, 170332.0, 172457.0, 155103.0, 114263.0, 114263.0, 170332.0, 113522.0, 114263.0, 114726.0"
600543,"111171.0, 119914.0, 127179.0, 121479.0, 126326.0, 107517.0, 144871.0, 114263.0, 141325.0, 117994.0"
600547,"166242.0, 166242.0, 142213.0, 111171.0, 114263.0, 166626.0, 115556.0, 164687.0, 166242.0, 166626.0"
600554,"142544.0, 123556.0, 112305.0, 132913.0, 132913.0, 113522.0, 157615.0, 125069.0, 117435.0, 162878.0"
600555,"172264.0, 152257.0, 113665.0, 142213.0, 149025.0, 114263.0, 163038.0, 172602.0, 139128.0, 127698.0"
600564,"115619.0, 122420.0, 107018.0, 177441.0, 115795.0, 159465.0, 107517.0, 145637.0, 167541.0, 155103.0"
600574,"172264.0, 113683.0, 142213.0, 114726.0, 163038.0, 112905.0, 163258.0, 158378.0, 139128.0, 114726.0"
600586,"114263.0, 163038.0, 114263.0, 163038.0, 114263.0, 155103.0, 114726.0, 149151.0, 106876.0, 158378.0"
600602,"141325.0, 114263.0, 114263.0, 155103.0, 114263.0, 170332.0, 114263.0, 172457.0, 170332.0, 114726.0"
600608,"142213.0, 163038.0, 112905.0, 166626.0, 114263.0, 158378.0, 139128.0, 117386.0, 145637.0, 142679.0"
600612,"114486.0, 114263.0, 166086.0, 114263.0, 114263.0, 114726.0, 158378.0, 155103.0, 114263.0, 149151.0"
600623,"164695.0, 156578.0, 105968.0, 138024.0, 130457.0, 171961.0, 172153.0, 154932.0, 114263.0, 121479.0"
600637,"170332.0, 114263.0, 114263.0, 170332.0, 142213.0, 113665.0, 172457.0, 162878.0, 113522.0, 114263.0"
600644,"142213.0, 140276.0, 163038.0, 112905.0, 166626.0, 114263.0, 158378.0, 145637.0, 139128.0, 117386.0"
600658,"172086.0, 111171.0, 111171.0, 166242.0, 164687.0, 166626.0, 114263.0, 156578.0, 153263.0, 140246.0"
600664,"107517.0, 123203.0, 163038.0, 172457.0, 114263.0, 142213.0, 167541.0, 155103.0, 155103.0, 172457.0"
600665,"108461.0, 142679.0, 142213.0, 117386.0, 163038.0, 117386.0, 100234.0, 145637.0, 138024.0, 158378.0"
600671,"117435.0, 102522.0, 131831.0, 138830.0, 172434.0, 117435.0, 154932.0, 162878.0, 170332.0, 162878.0"
600675,"125072.0, 120912.0, 119817.0, 114263.0, 147487.0, 145637.0, 114263.0, 170332.0, 174549.0, 161638.0"
600684,"111091.0, 134525.0, 115380.0, 142213.0, 114263.0, 114263.0, 172865.0, 100727.0, 104141.0, 123556.0"
600691,"166086.0, 127698.0, 144871.0, 138024.0, 106186.0, 123484.0, 162878.0, 107517.0, 104910.0, 112615.0"
600695,"104868.0, 174276.0, 117280.0, 172969.0, 170332.0, 135606.0, 105968.0, 114263.0, 127698.0, 153263.0"
600709,"114726.0, 166252.0, 169854.0, 125368.0, 155103.0, 114263.0, 157726.0, 171049.0, 114726.0, 172457.0"
600712,"168370.0, 137581.0, 113522.0, 117435.0, 142544.0, 123484.0, 146841.0, 113522.0, 114726.0, 109615.0"
600715,"121479.0, 104859.0, 104141.0, 141325.0, 145637.0, 162878.0, 177441.0, 146841.0, 104910.0, 138502.0"
600720,"121479.0, 112615.0, 112705.0, 110980.0, 100234.0, 128741.0, 161638.0, 168062.0, 172457.0, 166398.0"
600727,"162621.0, 154932.0, 139318.0, 138830.0, 156578.0, 126326.0, 162641.0, 142213.0, 144871.0, 117435.0"
600730,"139809.0, 145637.0, 114263.0, 144871.0, 174549.0, 155103.0, 166626.0, 114263.0, 148942.0, 172457.0"
600744,"172457.0, 170332.0, 114263.0, 155566.0, 113522.0, 101355.0, 114726.0, 170332.0, 170332.0, 115556.0"
600750,"114263.0, 114263.0, 149151.0, 114726.0, 158378.0, 114263.0, 158378.0, 155103.0, 158378.0, 109615.0"
600755,"158378.0, 149151.0, 158378.0, 114726.0, 114263.0, 114263.0, 114263.0, 107037.0, 114263.0, 142213.0"
600763,"164687.0, 146060.0, 100234.0, 114263.0, 113665.0, 107249.0, 112305.0, 107018.0, 125247.0, 164687.0"
600768,"108461.0, 153263.0, 149233.0, 121803.0, 107923.0, 138024.0, 164687.0, 113665.0, 114263.0, 124003.0"
600771,"157314.0, 168062.0, 145637.0, 109615.0, 113665.0, 163038.0, 170332.0, 114263.0, 113665.0, 117386.0"
600775,"157615.0, 162878.0, 117435.0, 113522.0, 142213.0, 138830.0, 129218.0, 174549.0, 174208.0, 155730.0"
600783,"116007.0, 100234.0, 130457.0, 121803.0, 172457.0, 158208.0, 127179.0, 130931.0, 155103.0, 113665.0"
600785,"139128.0, 144871.0, 148942.0, 155103.0, 172457.0, 114263.0, 114726.0, 158378.0, 123203.0, 172264.0"
600793,"170332.0, 172457.0, 170332.0, 114263.0, 155566.0, 170829.0, 164092.0, 170332.0, 113522.0, 170332.0"
600798,"113665.0, 114263.0, 114263.0, 125247.0, 115556.0, 152470.0, 164687.0, 164687.0, 105968.0, 140679.0"
600801,"166626.0, 114263.0, 172457.0, 170332.0, 170332.0, 101355.0, 172264.0, 114263.0, 166086.0, 114263.0"
600814,"121803.0, 114263.0, 142213.0, 170332.0, 114263.0, 154932.0, 100234.0, 158378.0, 168062.0, 150780.0"
600818,"152783.0, 106876.0, 114263.0, 114263.0, 114263.0, 135430.0, 155103.0, 114263.0, 141325.0, 153263.0"
600825,"111171.0, 114263.0, 140246.0, 114726.0, 115556.0, 114726.0, 111171.0, 169517.0, 155103.0, 111171.0"
600834,"114263.0, 148942.0, 144871.0, 114726.0, 171961.0, 172457.0, 155103.0, 158378.0, 139128.0, 158378.0"
600839,"149151.0, 158378.0, 114726.0, 158378.0, 114263.0, 114263.0, 155103.0, 114263.0, 107037.0, 114263.0"
600841,"119466.0, 144871.0, 104910.0, 116315.0, 156099.0, 161638.0, 174208.0, 147419.0, 124410.0, 156723.0"
600847,"116315.0, 114263.0, 117435.0, 135430.0, 126587.0, 170332.0, 162878.0, 117435.0, 166626.0, 131831.0"
600851,"166242.0, 111171.0, 166242.0, 166242.0, 102128.0, 111171.0, 141325.0, 166626.0, 120708.0, 111171.0"
600857,"168260.0, 152470.0, 107037.0, 144871.0, 112694.0, 154949.0, 139128.0, 149025.0, 148942.0, 121479.0"
600864,"179744.0, 128741.0, 130460.0, 147915.0, 173445.0, 168509.0, 164687.0, 105968.0, 166626.0, 121137.0"
600866,"151019.0, 141325.0, 113683.0, 147487.0, 114263.0, 114726.0, 154932.0, 104141.0, 121479.0, 172602.0"
600870,"114263.0, 118320.0, 107018.0, 114726.0, 144871.0, 148942.0, 139128.0, 155103.0, 114263.0, 172457.0"
600876,"150177.0, 138907.0, 114263.0, 145637.0, 156578.0, 139318.0, 140810.0, 162621.0, 138830.0, 144871.0"
600884,"153263.0, 105968.0, 156578.0, 104657.0, 115556.0, 103903.0, 161638.0, 167442.0, 103717.0, 111171.0"
600888,"158378.0, 149151.0, 158378.0, 114726.0, 114263.0, 114263.0, 114263.0, 107037.0, 114263.0, 142213.0"
600891,"139385.0, 125072.0, 122668.0, 114726.0, 111171.0, 158378.0, 142213.0, 104657.0, 145196.0, 172264.0"
600899,"172264.0, 168260.0, 140810.0, 149025.0, 114263.0, 113665.0, 114486.0, 113665.0, 141325.0, 140246.0"
600908,"172264.0, 113522.0, 114263.0, 140246.0, 149025.0, 144871.0, 113665.0, 158378.0, 114486.0, 111171.0"
600923,"154701.0, 138830.0, 142213.0, 108701.0, 129218.0, 114263.0, 161638.0, 114263.0, 145637.0, 105968.0"
600931,"172264.0, 134525.0, 114263.0, 140246.0, 149025.0, 144871.0, 158378.0, 111171.0, 114486.0, 139128.0"
600948,"158378.0, 168260.0, 102007.0, 169517.0, 125072.0, 131831.0, 149025.0, 149151.0, 114726.0, 114263.0"
600954,"121137.0, 114263.0, 138024.0, 126326.0, 170430.0, 169517.0, 138830.0, 138907.0, 167597.0, 161638.0"
600959,"104868.0, 114263.0, 114263.0, 125247.0, 144871.0, 123484.0, 155103.0, 139128.0, 109615.0, 146841.0"
600964,"155566.0, 101951.0, 142213.0, 139809.0, 139128.0, 162641.0, 170829.0, 170332.0, 172457.0, 114263.0"
600968,"114263.0, 178107.0, 114263.0, 114726.0, 155103.0, 155103.0, 172457.0, 114726.0, 144871.0, 148942.0"
600975,"138024.0, 107923.0, 114263.0, 126326.0, 107517.0, 149233.0, 113665.0, 108461.0, 117994.0, 164687.0"
600982,"150804.0, 159184.0, 114726.0, 114263.0, 155103.0, 158378.0, 114263.0, 173445.0, 141325.0, 139128.0"
600985,"122295.0, 145637.0, 162878.0, 144871.0, 167541.0, 161638.0, 126326.0, 163514.0, 148942.0, 158378.0"
600993,"139809.0, 162878.0, 114263.0, 114263.0, 170332.0, 138830.0, 162878.0, 170332.0, 129218.0, 142213.0"
600999,"162522.0, 139809.0, 119817.0, 107037.0, 166086.0, 113665.0, 172264.0, 114486.0, 167541.0, 121479.0"
601004,"130931.0, 106876.0, 172457.0, 107517.0, 141325.0, 125247.0, 145637.0, 158378.0, 114263.0, 144871.0"
601005,"108461.0, 167541.0, 112615.0, 163258.0, 100234.0, 166086.0, 107517.0, 141325.0, 106059.0, 158378.0"
601011,"114726.0, 178107.0, 110725.0, 166626.0, 114263.0, 112905.0, 114263.0, 158378.0, 149151.0, 158378.0"
601017,"158378.0, 149151.0, 158378.0, 114726.0, 114263.0, 114263.0, 114263.0, 107037.0, 114263.0, 142213.0"
601020,"139809.0, 125368.0, 139809.0, 138024.0, 164687.0, 112615.0, 167442.0, 117386.0, 105968.0, 149455.0"
601029,"130241.0, 125247.0, 114263.0, 155103.0, 104868.0, 139128.0, 114263.0, 144871.0, 114726.0, 164687.0"
601032,"145619.0, 164687.0, 142213.0, 168260.0, 163038.0, 139809.0, 112905.0, 158378.0, 139128.0, 142679.0"
601035,"129133.0, 114726.0, 158378.0, 114263.0, 149151.0, 155103.0, 158378.0, 128741.0, 158378.0, 141325.0"
601044,"172264.0, 119558.0, 114263.0, 140246.0, 111171.0, 149025.0, 166242.0, 144871.0, 139128.0, 164687.0"
601047,"170332.0, 130077.0, 123484.0, 166242.0, 146841.0, 172457.0, 111171.0, 141325.0, 110980.0, 111171.0"
601053,"117699.0, 114726.0, 173445.0, 128741.0, 114263.0, 167597.0, 100234.0, 162641.0, 172264.0, 126326.0"
601055,"114726.0, 171171.0, 155103.0, 144871.0, 114263.0, 148942.0, 172457.0, 139128.0, 158378.0, 114726.0"
601063,"130106.0, 114263.0, 170332.0, 110980.0, 168062.0, 100234.0, 170332.0, 142213.0, 172457.0, 103903.0"
601071,"111171.0, 162878.0, 166242.0, 111171.0, 111171.0, 141325.0, 166242.0, 147745.0, 104657.0, 164687.0"
601079,"159465.0, 157314.0, 174208.0, 178404.0, 159465.0, 157314.0, 162878.0, 104910.0, 117435.0, 166086.0"
601083,"158183.0, 107923.0, 142213.0, 113665.0, 145637.0, 112615.0, 141325.0, 166704.0, 104657.0, 114263.0"
601085,"110980.0, 125368.0, 172637.0, 143596.0, 152783.0, 121479.0, 161638.0, 112615.0, 166398.0, 164687.0"
601090,"149246.0, 158378.0, 114263.0, 141325.0, 114263.0, 149455.0, 114263.0, 120912.0, 106876.0, 107517.0"
601101,"162621.0, 154932.0, 139318.0, 138830.0, 156578.0, 126326.0, 162641.0, 142213.0, 144871.0, 117435.0"
601107,"101355.0, 156099.0, 141935.0, 114263.0, 114582.0, 172457.0, 170332.0, 113522.0, 155566.0, 170332.0"
601113,"110725.0, 128741.0, 100234.0, 120912.0, 114263.0, 172264.0, 155730.0, 114726.0, 155103.0, 168062.0"
601116,"131831.0, 158378.0, 149151.0, 158378.0, 114726.0, 114263.0, 104910.0, 162878.0, 142213.0, 155103.0"
601120,"102114.0, 117435.0, 162878.0, 146841.0, 123484.0, 155730.0, 134396.0, 144871.0, 104910.0, 123484.0"
601130,"166242.0, 129475.0, 110725.0, 170332.0, 125606.0, 104859.0, 147968.0, 119499.0, 112305.0, 131233.0"
601144,"121803.0, 172457.0, 142213.0, 155103.0, 148942.0, 114263.0, 144871.0, 139128.0, 114726.0, 163038.0"
601149,"164687.0, 158378.0, 158378.0, 149151.0, 114726.0, 114263.0, 114263.0, 155103.0, 114263.0, 142213.0"
601162,"158378.0, 149025.0, 125072.0, 106876.0, 122668.0, 140246.0, 114263.0, 172264.0, 148942.0, 107037.0"
601166,"114726.0, 155103.0, 114263.0, 144871.0, 172457.0, 148942.0, 139128.0, 158378.0, 114726.0, 123203.0"
601170,"114263.0, 158499.0, 172457.0, 170332.0, 114263.0, 113522.0, 114263.0, 155103.0, 155566.0, 170332.0"
601178,"145341.0, 120354.0, 147487.0, 116315.0, 156728.0, 111171.0, 103903.0, 153263.0, 111171.0, 146841.0"
601180,"123484.0, 170332.0, 114263.0, 142213.0, 155103.0, 172457.0, 155566.0, 112905.0, 113522.0, 170829.0"
601187,"105968.0, 166626.0, 166626.0, 105968.0, 105968.0, 114263.0, 155103.0, 102522.0, 149455.0, 142213.0"
601194,"155103.0, 114263.0, 114726.0, 114263.0, 158378.0, 114263.0, 149151.0, 114263.0, 158378.0, 106876.0"
601199,"114263.0, 103337.0, 107611.0, 150177.0, 113665.0, 149151.0, 158378.0, 138024.0, 158378.0, 138024.0"
601203,"106910.0, 135677.0, 147894.0, 121803.0, 164687.0, 113665.0, 114263.0, 153263.0, 138024.0, 107923.0"
601211,"165976.0, 114263.0, 114726.0, 114263.0, 114726.0, 115842.0, 114263.0, 169517.0, 138024.0, 127652.0"
601223,"148942.0, 172086.0, 116315.0, 152257.0, 107018.0, 130241.0, 114263.0, 135430.0, 170332.0, 106876.0"
601226,"100727.0, 166242.0, 114726.0, 102114.0, 106876.0, 139369.0, 114263.0, 162878.0, 142213.0, 166242.0"
601236,"172264.0, 104018.0, 111171.0, 142213.0, 166252.0, 114726.0, 160273.0, 145637.0, 104657.0, 107923.0"
601242,"117386.0, 114263.0, 114263.0, 142213.0, 166242.0, 108461.0, 109615.0, 104657.0, 125247.0, 114263.0"
601248,"112905.0, 104018.0, 148036.0, 150804.0, 125368.0, 172153.0, 155241.0, 142213.0, 106876.0, 113665.0"
601252,"177168.0, 114263.0, 114726.0, 158378.0, 100234.0, 149151.0, 158378.0, 114263.0, 162878.0, 113665.0"
601257,"108461.0, 114263.0, 114726.0, 114263.0, 153263.0, 164687.0, 106876.0, 164687.0, 135430.0, 168200.0"
601261,"117435.0, 163038.0, 107838.0, 138502.0, 174549.0, 172865.0, 124775.0, 131831.0, 123484.0, 174208.0"
601268,"145637.0, 159276.0, 157726.0, 114263.0, 142213.0, 167541.0, 114263.0, 172264.0, 174549.0, 161638.0"
601270,"150177.0, 171049.0, 114263.0, 134396.0, 104910.0, 121479.0, 168509.0, 158378.0, 114263.0, 172503.0"
601280,"114263.0, 164687.0, 107407.0, 144871.0, 101168.0, 102151.0, 118964.0, 166242.0, 114263.0, 111171.0"
601292,"158208.0, 112305.0, 166626.0, 114263.0, 149455.0, 114263.0, 105968.0, 137455.0, 125368.0, 113665.0"
601297,"166626.0, 145637.0, 172457.0, 114726.0, 177168.0, 107018.0, 155103.0, 112705.0, 155103.0, 171961.0"
601301,"153373.0, 132722.0, 104868.0, 172457.0, 114263.0, 170332.0, 114263.0, 155566.0, 170829.0, 170332.0"
601310,"152470.0, 113665.0, 135753.0, 158174.0, 118320.0, 112615.0, 172264.0, 146060.0, 173445.0, 127698.0"
601319,"162878.0, 166242.0, 139128.0, 116793.0, 111171.0, 142213.0, 117435.0, 166242.0, 111171.0, 163038.0"
601323,"177441.0, 113665.0, 173445.0, 106059.0, 113665.0, 107923.0, 109615.0, 164687.0, 100234.0, 114726.0"
601327,"141224.0, 124775.0, 170332.0, 154932.0, 162878.0, 114263.0, 135430.0, 117435.0, 152470.0, 104910.0"
601333,"112836.0, 127652.0, 172969.0, 172457.0, 170332.0, 170332.0, 155566.0, 177888.0, 170332.0, 112037.0"
601338,"145637.0, 114263.0, 142213.0, 167541.0, 114263.0, 172264.0, 105968.0, 161638.0, 174549.0, 155103.0"
601343,"106876.0, 114263.0, 155103.0, 135430.0, 114263.0, 114263.0, 114263.0, 163038.0, 114263.0, 158378.0"
601353,"173264.0, 177441.0, 114726.0, 113471.0, 115619.0, 114726.0, 141325.0, 114263.0, 149151.0, 155103.0"
601359,"149151.0, 158378.0, 114726.0, 158378.0, 114263.0, 114263.0, 155103.0, 114263.0, 107037.0, 114263.0"
601371,"159184.0, 152621.0, 170597.0, 142213.0, 170829.0, 113665.0, 155566.0, 127652.0, 153373.0, 113665.0"
601375,"121479.0, 135753.0, 145637.0, 166086.0, 149025.0, 107037.0, 105968.0, 127698.0, 172264.0, 130189.0"
601383,"104657.0, 111171.0, 122668.0, 111171.0, 113665.0, 158378.0, 164687.0, 154932.0, 125072.0, 113665.0"
601386,"125368.0, 114726.0, 170332.0, 114263.0, 100234.0, 110980.0, 144619.0, 167442.0, 163514.0, 172457.0"
601413,"154932.0, 122668.0, 152470.0, 162621.0, 122668.0, 148942.0, 111171.0, 121479.0, 150780.0, 173445.0"
601415,"120912.0, 132722.0, 118964.0, 149455.0, 121803.0, 165392.0, 174208.0, 113665.0, 102151.0, 129133.0"
601424,"114263.0, 162878.0, 112905.0, 130460.0, 152257.0, 156578.0, 170332.0, 150804.0, 134599.0, 123556.0"
601426,"172503.0, 166086.0, 114486.0, 117386.0, 145637.0, 142213.0, 167541.0, 149151.0, 145637.0, 121479.0"
