id,average_cost_for_two,book_url,cuisines,currency,establishment_types__establishment_type__id,establishment_types__establishment_type__name,featured_image,has_online_delivery,has_table_booking,include_bogo_offers,is_book_form_web_view,is_delivering_now,is_table_reservation_supported,is_zomato_book_res,location__address,location__city,location__city_id,location__country_id,location__latitude,location__locality,location__locality_verbose,location__longitude,location__zipcode,medio_provider,mezzo_provider,name,offers,opentable_support,price_range,switch_to_order_menu,thumb,user_rating__custom_rating_text,user_rating__custom_rating_text_background,user_rating__rating_text,user_rating__rating_tool_tip,user_rating__votes,zomato_events,Zomato_user_rating
7503,80,,"British, Seafood",AED,20,Food Court,https://b.zmtcdn.com/data/pictures/2/5702262/ab87efaeeb833a14f96fb0a892de5cd0.jpg,1,0,TRUE,0,0,0,0,"Food Court, Level 3, Mushrif Mall, Al Mushrif, Abu Dhabi",Abu Dhabi,57,214,24.43360641,"Mushrif Mall, Al Mushrif","Mushrif Mall, Al Mushrif, Abu Dhabi",54.41321924,0,,OTHER,London Fish and Chips,[],0,3,0,https://b.zmtcdn.com/data/pictures/2/5702262/ab87efaeeb833a14f96fb0a892de5cd0.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Good,,58,,
6899,60,,"Cafe, Desserts",AED,23,Dessert Parlour,https://b.zmtcdn.com/data/res_imagery/5600414_CHAIN_95ba3bd48bc1368d9c9de85ae273b357.jpeg,0,0,TRUE,0,0,0,0,"ADNOC Al Salama, Near Safeer Mall, Al Nahda, Sharjah",Sharjah,56,214,25.307187,Al Nahda,"Al Nahda, Sharjah",55.37401,,,OTHER,Dunkin' Donuts,[],0,3,0,https://b.zmtcdn.com/data/res_imagery/5600414_CHAIN_95ba3bd48bc1368d9c9de85ae273b357.jpeg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Average,,5,,
16215,250,,"Italian, Pizza",R$,18,Fine Dining,https://b.zmtcdn.com/data/res_imagery/6706313_RESTAURANT_0496566e3aeed47d1681f72a3f3e63af.jpg,0,0,TRUE,0,0,0,0,"Rua Avanhandava, 81, Bela Vista, São Paulo 10000",São Paulo,67,30,-23.55066667,"Bela Vista, Centro","Bela Vista, Centro, São Paulo",-46.64516667,10000,,OTHER,Cantina Famiglia Mancini,[],0,4,0,https://b.zmtcdn.com/data/res_imagery/6706313_RESTAURANT_0496566e3aeed47d1681f72a3f3e63af.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Excellent,,54,,
10579,0,https://www.zomato.com/london/imperial-restaurant-lounge-bar-purley/book?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Chinese, Asian, Indian",£,5,Lounge,,0,1,TRUE,0,0,0,0,"Airport House, Purley Way, Purley, London",London,61,215,51.356455,"Queensway, Purley","Queensway, Purley, London",-0.117656,,,QUANDOO,Imperial Restaurant & Lounge Bar,[],0,1,0,,,,Average,,5,,
5597,150,,"Singaporean, Chinese, Seafood",$,7,Bar,,0,0,TRUE,0,0,0,0,"320 Orchard Road, Marriott Tang Plaza 238865",Singapore,52,184,1.305105832,"Tang Plaza, Orchard","Tang Plaza, Orchard, Singapore",103.8329882,238865,,OTHER,Marriott Cafe,[],0,4,0,,,,Very Good,,9,,
31923,60,,"Desserts, Ice Cream, Juices",AED,23,Dessert Parlour,https://b.zmtcdn.com/data/res_imagery/18567638_RESTAURANT_1390b9c1ba8667b30a31e4f2260aa8da.jpg,1,0,TRUE,0,0,0,0,"Musalla Souq Building, Opposite Musalla Mosque, Al Bustan, Ajman",Ajman,92,214,25.41081411,Al Bustan,"Al Bustan, Ajman",55.4445264,,,OTHER,Iceberry,[],0,2,0,https://b.zmtcdn.com/data/res_imagery/18567638_RESTAURANT_1390b9c1ba8667b30a31e4f2260aa8da.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Very Good,,42,,
7280,245,,"American, Mexican, Tex-Mex, Steak, Salad",AED,16,Casual Dining,https://b.zmtcdn.com/data/pictures/chains/2/18667902/6406b485bcbd1926a3078422f28c2953.jpg,1,0,TRUE,0,1,0,0,"Opposite Vision Towers, Near Nissan Showroom, Najda, Abu Dhabi",Abu Dhabi,57,214,24.4893689,Najda,"Najda, Abu Dhabi",54.37320068,,,OTHER,Chops & Shrimps,[],0,4,0,https://b.zmtcdn.com/data/pictures/chains/2/18667902/6406b485bcbd1926a3078422f28c2953.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Very Good,,150,,
14531,290,,"Cafe, Bakery, Desserts",R,1,Café,https://b.zmtcdn.com/data/res_imagery/6500586_RESTAURANT_644da895fdb4282ace9464436380d137_c.jpg,0,0,TRUE,0,0,0,0,"Cobbles Centre, 4th Avenue, Parkhurst, Johannesburg",Johannesburg,65,189,-26.13766667,Parkhurst,"Parkhurst, Johannesburg",28.01783333,,,OTHER,Vovo Telo,[],0,3,0,https://b.zmtcdn.com/data/res_imagery/6500586_RESTAURANT_644da895fdb4282ace9464436380d137_c.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Good,,394,,
1198,500,,Cafe,Rs.,1,Café,https://b.zmtcdn.com/data/pictures/6/3400166/66963ab3b02a110eb88e234c936cff8c.jpg,0,0,TRUE,0,0,0,0,"8 Handicraft Nagar, Fatehabad Road, Tajganj, Agra",Agra,34,1,27.16143775,Tajganj,"Tajganj, Agra",78.03506691,,,OTHER,Costa Coffee,[],0,2,0,https://b.zmtcdn.com/data/pictures/6/3400166/66963ab3b02a110eb88e234c936cff8c.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Very Good,,46,,
17738,100,,"Cafe Food, European, Pizza",NZ$,1,Café,https://b.zmtcdn.com/data/res_imagery/7005772_RESTAURANT_fe85c7df14a7095672c558ee93ca745a.jpg,0,0,TRUE,0,0,0,0,"20 St Johns Road, Meadowbank, Auckland",Auckland,70,148,-36.87649697,Meadowbank,"Meadowbank, Auckland",174.8259216,,,OTHER,Meadow,[],0,4,0,https://b.zmtcdn.com/data/res_imagery/7005772_RESTAURANT_fe85c7df14a7095672c558ee93ca745a.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Very Good,,173,,
6559,95,,"Fast Food, Pizza",AED,16,Casual Dining,https://b.zmtcdn.com/data/pictures/4/5600164/f2499fbf659c64b7337fbe832d9a0a83.jpg,1,0,TRUE,0,1,0,0,"Before Safeer Mall, Al Nahda, Sharjah",Sharjah,56,214,25.30517792,Al Nahda,"Al Nahda, Sharjah",55.37396371,0,,OTHER,Pizza Hut,[],0,3,0,https://b.zmtcdn.com/data/pictures/4/5600164/f2499fbf659c64b7337fbe832d9a0a83.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Average,,424,"[{'event': {'event_id': 235760, 'friendly_start_date': '10 July', 'friendly_end_date': '31 December', 'friendly_timing_str': 'Tuesday, 10th July - Monday, 31st December', 'start_date': '2018-07-10', 'end_date': '2018-12-31', 'end_time': '23:59:59', 'start_time': '00:00:00', 'is_active': 1, 'date_added': '2018-07-14 05:39:27', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/544/9f3025c2728ba6a40c0577978d087544_1531455536.jpg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/544/9f3025c2728ba6a40c0577978d087544_1531455536.jpg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': '9f3025c2728ba6a40c0577978d087544', 'photo_id': 326547, 'uuid': 2388696477, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Family Meal', 'description': '2 Medium Pizzas of your choice + Wedges + 4 Pcs. of Garlic Bread + 1 Large Salad + 2 Pepsi Bottles 500 ml | Wow Value @ 79 Dhs', 'display_time': '12:00 am - 11:59 pm', 'display_date': '10 July - 31 December', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 1, 'event_category_name': '', 'book_link': '', 'share_data': {'should_show': 0}}}, {'event': {'event_id': 235761, 'friendly_start_date': '10 July', 'friendly_end_date': '31 December', 'friendly_timing_str': 'Tuesday, 10th July - Monday, 31st December', 'start_date': '2018-07-10', 'end_date': '2018-12-31', 'end_time': '23:59:59', 'start_time': '00:00:00', 'is_active': 1, 'date_added': '2018-07-14 05:39:28', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/435/f0a7ff97f5bc4d51088fbb9320f69435_1531455535.jpg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/435/f0a7ff97f5bc4d51088fbb9320f69435_1531455535.jpg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': 'f0a7ff97f5bc4d51088fbb9320f69435', 'photo_id': 326548, 'uuid': 3034638950, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Try our new SFO Dough!', 'description': ""San Francisco Style Handcrafted Pizza that's light and airy! "", 'display_time': '12:00 am - 11:59 pm', 'display_date': '10 July - 31 December', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 1, 'event_category_name': '', 'book_link': '', 'share_data': {'should_show': 0}}}, {'event': {'event_id': 235762, 'friendly_start_date': '10 July', 'friendly_end_date': '31 December', 'friendly_timing_str': 'Tuesday, 10th July - Monday, 31st December', 'start_date': '2018-07-10', 'end_date': '2018-12-31', 'end_time': '23:59:59', 'start_time': '00:00:00', 'is_active': 1, 'date_added': '2018-07-14 05:39:29', 'photos': [{'photo': {'url': 'https://b.zmtcdn.com/data/zomato_events/photos/35a/08fa54b35165989b21e5bb5f5bad035a_1531455537.jpg', 'thumb_url': 'https://b.zmtcdn.com/data/zomato_events/photos/35a/08fa54b35165989b21e5bb5f5bad035a_1531455537.jpg?fit=around%7C100%3A100&crop=100%3A100%3B%2A%2C%2A', 'order': 0, 'md5sum': '08fa54b35165989b21e5bb5f5bad035a', 'photo_id': 326549, 'uuid': 2410967560, 'type': 'NORMAL'}}], 'restaurants': [], 'is_valid': 1, 'share_url': 'http://www.zoma.to/r/0', 'show_share_url': 0, 'title': 'Tuesday Buy one Get One Pizza!', 'description': 'Buy One Pizza and get the second free! Offer on all crusts and only available on Tuesdays', 'display_time': '12:00 am - 11:59 pm', 'display_date': '10 July - 31 December', 'is_end_time_set': 1, 'disclaimer': 'Restaurants are solely responsible for the service; availability and quality of the events including all or any cancellations/ modifications/ complaints.', 'event_category': 1, 'event_category_name': '', 'book_link': '', 'share_data': {'should_show': 0}}}]",
27231,75000,,Finger Food,LBP,8,Club,,0,0,TRUE,0,0,0,0,"Koï Village, Cap Sur Ville Country Club, Dekwaneh, Metn",Metn,86,112,33.872441,"Koï Village, Dekwaneh","Koï Village, Dekwaneh, Metn",35.558135,,,OTHER,Koï Club,[],0,3,0,,,,Average,,4,,
13712,200,,"Beverages, Juices, Tea",P,41,Beverage Shop,https://b.zmtcdn.com/data/pictures/chains/7/6313477/636de3ba2bbe075a3693a52f95a2dcc5.jpg,0,0,TRUE,0,0,0,0,"Third Floor, Lucky Chinatown Mall, Binondo, Manila",Manila,63,162,14.60351012,"Lucky Chinatown Mall, Binondo, Manila","Lucky Chinatown Mall, Binondo, Manila, Manila",120.9735157,,,OTHER,CoCo Fresh Tea & Juice,[],0,1,0,https://b.zmtcdn.com/data/pictures/chains/7/6313477/636de3ba2bbe075a3693a52f95a2dcc5.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Very Good,,34,,
21086,100000,,"Bakery, Cafe",IDR,31,Bakery,https://b.zmtcdn.com/data/pictures/chains/2/7400882/b294af17720c872f732d148c5a9ddf8c.jpg,0,0,TRUE,0,0,0,0,"Grand Indonesia Mall, Lantai 8, West Mall, Jl. MH Thamrin, Thamrin, Jakarta",Jakarta,74,94,-6.194459808,"Grand Indonesia Mall, Thamrin","Grand Indonesia Mall, Thamrin, Jakarta",106.8198561,,,OTHER,Tous Les Jours,[],0,2,0,https://b.zmtcdn.com/data/pictures/chains/2/7400882/b294af17720c872f732d148c5a9ddf8c.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Very Good,,68,,
10765,80,https://www.zomato.com/london/shaka-zulu-london-camden-town/book?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"South African, African, Brazilian",£,7,Bar,,0,1,TRUE,0,0,0,0,"1 Stables Market, Chalk Farm Rd, Camden Town, London NW1 8AB",London,61,215,51.541899,"Chalk Farm Road, Camden Town","Chalk Farm Road, Camden Town, London",-0.146058,NW1 8AB,,QUANDOO,Shaka Zulu London,[],0,4,0,,,,Good,,126,,
24109,170,,Author,€,18,Fine Dining,https://b.zmtcdn.com/data/res_imagery/8213715_RESTAURANT_45f3d88999471931c18185ce79efa615.jpg,0,0,TRUE,0,0,0,0,"Rua dos Navegantes, 53B, Lapa-Estrela, Lisboa 1200",Lisboa,82,164,38.71233133,Lapa-Estrela,"Lapa-Estrela, Lisboa",-9.160406627,1200,,OTHER,Loco,[],0,4,0,https://b.zmtcdn.com/data/res_imagery/8213715_RESTAURANT_45f3d88999471931c18185ce79efa615.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Excellent,,220,,
18072,80,,"European, Seafood",NZ$,7,Bar,https://b.zmtcdn.com/data/res_imagery/7002563_RESTAURANT_2d932c0c91fcef95ca00fd0cab16fe34.jpg?output-format=webp,0,0,TRUE,0,0,0,0,"2 Onehunga Harbour Road, Onehunga, Auckland",Auckland,70,148,-36.93128619,Onehunga,"Onehunga, Auckland",174.7851879,,,OTHER,The Landing Restaurant & Bar,[],0,4,0,https://b.zmtcdn.com/data/res_imagery/7002563_RESTAURANT_2d932c0c91fcef95ca00fd0cab16fe34.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Good,,44,,
25102,24000,,Mexican,$,16,Casual Dining,https://b.zmtcdn.com/data/res_imagery/8301126_RESTAURANT_195b4e22ac232a8b5ef3eabad97bcd11_c.jpg,0,0,TRUE,0,0,0,0,"Av. Manuel Montt 235, Providencia, Santiago",Santiago,83,42,-33.43081849,Providencia,"Providencia, Santiago",-70.61894909,,,OTHER,Los Cuates,[],0,2,0,https://b.zmtcdn.com/data/res_imagery/8301126_RESTAURANT_195b4e22ac232a8b5ef3eabad97bcd11_c.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Very Good,,221,,
13769,180,,"Cafe, Healthy Food, Deli",R,1,Café,https://b.zmtcdn.com/data/res_imagery/6402848_RESTAURANT_5138796fe32034f8dfea2adb7699a8fa_c.jpg,0,0,TRUE,0,0,0,0,"Corner Buiten Street and Loop Street, CBD, Cape Town",Cape Town,64,189,-33.92567303,CBD,"CBD, Cape Town",18.4146433,,,OTHER,Plant,[],0,2,0,https://b.zmtcdn.com/data/res_imagery/6402848_RESTAURANT_5138796fe32034f8dfea2adb7699a8fa_c.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Good,,151,,
31392,25,,"Kebab, Iranian",€,21,Quick Bites,https://b.zmtcdn.com/data/res_imagery/16522461_RESTAURANT_94f35e00b5333db7794d8dc62d9c79e4.jpg,0,0,TRUE,0,0,0,0,"44-45 Camden Street Lower, Dublin Dublin 2",Dublin,91,97,53.33386667,South City West,"South City West, Dublin",-6.265088889,Dublin 2,,OTHER,Zaytoon,[],0,2,0,https://b.zmtcdn.com/data/res_imagery/16522461_RESTAURANT_94f35e00b5333db7794d8dc62d9c79e4.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Good,,26,,
9270,35,,"Döner, Fast Food, Juices",TL,21,Quick Bites,,0,0,TRUE,0,0,0,0,"Zuhuratbaba Mahallesi, İncirli Caddesi, No 47/B, Bakırköy, İstanbul",İstanbul,59,208,40.98727135,İncirli,"İncirli, İstanbul",28.87232848,,,OTHER,Taksim Hamburger,[],0,2,0,,,,Very Good,,224,,
28676,15,,Finger Food,MYR,21,Quick Bites,,0,0,TRUE,0,0,0,0,"01.22B, Level 1, Berjaya Times Square, Jalan Imbi, Imbi, Kuala Lumpur 55100",Kuala Lumpur,88,123,3.142502978,Berjaya Times Square,"Berjaya Times Square, Kuala Lumpur",101.7096455,55100,,OTHER,Fullhouse Egglet,[],0,2,0,,,,Good,,6,,
30154,15,,"Bubble Tea, Beverages",$,41,Beverage Shop,https://b.zmtcdn.com/data/res_imagery/8901015_RESTAURANT_ee848240dc744d6d5907fdd133a02f32.jpg,0,0,TRUE,0,0,0,0,"3300 Midland Avenue, Scarborough",Toronto,89,37,43.806205,"Midland Avenue, Scarborough","Midland Avenue, Scarborough, Toronto",-79.289287,,,OTHER,Coco Fresh Juice And Tea,[],0,1,0,https://b.zmtcdn.com/data/res_imagery/8901015_RESTAURANT_ee848240dc744d6d5907fdd133a02f32.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Average,,6,,
7443,230,,"Tex-Mex, Mexican",AED,20,Food Court,https://b.zmtcdn.com/data/res_imagery/5700049_CHAIN_4c328c0f3eae9e80373e3456695b9f14.jpg,1,0,TRUE,0,1,0,0,"Food Court, Level 3, Mushrif Mall, Al Mushrif, Abu Dhabi",Abu Dhabi,57,214,24.43454474,"Mushrif Mall, Al Mushrif","Mushrif Mall, Al Mushrif, Abu Dhabi",54.41360615,,,OTHER,Chili's,[],0,4,0,https://b.zmtcdn.com/data/res_imagery/5700049_CHAIN_4c328c0f3eae9e80373e3456695b9f14.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Good,,90,,
25837,500,,Czech,Kč,6,Pub,https://b.zmtcdn.com/data/res_imagery/16506910_RESTAURANT_0ec05b45cee1f946055ddfb4e94aa669_c.jpg,0,0,TRUE,0,0,0,0,"Karlínské náměstí 13, Karlín, Praha 8",Praha 8,84,54,50.09259444,Karlín,"Karlín, Praha 8",14.44649167,,,OTHER,Restaurace U Saní,[],0,3,0,https://b.zmtcdn.com/data/res_imagery/16506910_RESTAURANT_0ec05b45cee1f946055ddfb4e94aa669_c.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Good,,72,,
